カテゴリ	テーマ名	銘柄コード	銘柄名	寄与度
環境	アンモニア	1964	中外炉工業	
環境	アンモニア	1976	明星工業	
環境	アンモニア	255A	ジーエルテクノホールディングス	
環境	アンモニア	3442	MIEコーポレーション	
環境	アンモニア	4114	日本触媒	
環境	アンモニア	4183	三井化学	
環境	アンモニア	5659	日本精線	
環境	アンモニア	6016	ジャパンエンジンコーポレーション	
環境	アンモニア	6229	オーケーエム	
環境	アンモニア	6306	日工	
環境	アンモニア	6330	東洋エンジニアリング	
環境	アンモニア	6361	荏原	
環境	アンモニア	6376	日機装	
環境	アンモニア	6378	木村化工機	
環境	アンモニア	6391	加地テック	
環境	アンモニア	6699	ダイヤモンドエレクトリックホールディングス	
環境	アンモニア	7011	三菱重工業	
環境	アンモニア	7013	IHI	
環境	アンモニア	7296	エフ・シー・シー	
環境	アンモニア	7377	DNホールディングス	
環境	アンモニア	9101	日本郵船	
環境	アンモニア	9104	商船三井	
環境	アンモニア	9107	川崎汽船	
環境	アンモニア	9110	NSユナイテッド海運	
環境	アンモニア	9119	飯野海運	
環境	アンモニア	9501	東京電力ホールディングス	
環境	アンモニア	9502	中部電力	
環境	アンモニア	9504	中国電力	
環境	アンモニア	9505	北陸電力	
環境	アンモニア	9507	四国電力	
環境	アンモニア	9508	九州電力	
環境	アンモニア	9509	北海道電力	
環境	アンモニア	9511	沖縄電力	
環境	アンモニア	9513	J-POWER	
環境	カーボンニュートラル	3023	ラサ商事	
環境	カーボンニュートラル	3388	明治電機工業	
環境	カーボンニュートラル	5368	日本インシュレーション	
環境	カーボンニュートラル	5659	日本精線	
環境	カーボンニュートラル	6653	正興電機製作所	
環境	カーボンニュートラル	6737	EIZO	
環境	カーボンニュートラル	7227	アスカ	
環境	カーボンニュートラル	7946	光陽社	
環境	カーボンニュートラル	8074	ユアサ商事	
環境	カーボンニュートラル	8151	東陽テクニカ	
環境	カーボンニュートラル	8697	日本取引所グループ	
環境	カーボンニュートラル	9534	北海道ガス	
環境	カーボンニュートラル	9537	北陸ガス	
環境	カーボンニュートラル	9539	京葉瓦斯	
環境	カーボンニュートラル	9872	北恵	
環境	産業廃棄物	2721	ジェイホールディングス	
環境	産業廃棄物	3823	THE WHY HOW DO COMPANY	
環境	産業廃棄物	4125	三和油化工業	
環境	産業廃棄物	4366	ダイトーケミックス	
環境	産業廃棄物	4651	サニックスホールディングス	
環境	産業廃棄物	4673	川崎地質	
環境	産業廃棄物	4707	キタック	
環境	産業廃棄物	5388	クニミネ工業	
環境	産業廃棄物	5440	共英製鋼	
環境	産業廃棄物	5698	エンビプロ・ホールディングス	
環境	産業廃棄物	5699	イボキン	
環境	産業廃棄物	5714	DOWAホールディングス	
環境	産業廃棄物	5857	AREホールディングス	
環境	産業廃棄物	6360	東京自働機械製作所	
環境	産業廃棄物	6564	ミダックホールディングス	
環境	産業廃棄物	6566	要興業	
環境	産業廃棄物	7375	リファインバースグループ	
環境	産業廃棄物	7456	松田産業	
環境	産業廃棄物	8835	太平洋興発	
環境	産業廃棄物	9170	成友興業	
環境	産業廃棄物	9221	フルハシEPO	
環境	産業廃棄物	9247	TREホールディングス	
